Name,Description,Reward,Defence,Count,Lose,Tier
Xenobiological Flora,,Loot 4,5,4,,1
Antimatter Pods,,Loot 5 Resource,6,2,,1
Ionic Crystal Fields,,Loot 3 x 2,5,1,,1
Quarry,,Loot 3 Resource,5,1,,1
Quarry,,Loot 3 Resource,5,1,,1
White Crystals,Requires a + Mining Card,Loot 5,5,1,,1
Magica,,Replace 1 Loot<BR>Loot 4 Main Deck,5,1,,1
Dark Matter Clusters,,Destroy 1 card<BR>Draw 2 Cards,6,1,,1
Quantum Foam Pools,Requires a + Attack Card,Loot 5 Main Deck,6,1,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,2
Mine,,,8,2,,2
Derelict Mine,,,7,1,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,2
,,,,,,3
,,,,,,3
Electrum Veins,,Loot 6 Resource,7,2,,3
Plasma Springs,,Loot 7 Resource,8,1,,3
Nebula Gas Vents,,"Loot 15 Resource, max 1 card",14,1,,3
Crystalline Deposits,Can only be mined if you roll a 6,Replace 1 Loot<BR>Loot 6 Main Deck,0,0,,3
Spiky Formations,,"Destroy 1 Equipment<BR>Loot 15 Resource, max 1 card",8,1,,3
,,,,,,3
,,,,,,3
,,,,,,3
,,,,,,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Tier 1 count,16,,,
,,Tier 2 count,3,,,
,,Tier 3 count,5,,,
